n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj
SDE07,SDE07,E Born,FR*S07*P07245*A,ST JEAN DE MUZOLS_Rue Centrale,Rue Centrale 07300 ST JEAN DE MUZOLS,07245,4.81534600,45.08348600,,FR*S07*E07245*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07259*A,ST JUST D ARDECHE_Place de l'Ecole - Route de Bourg Saint Andeol,Place de l'Ecole - Route de Bourg Saint Andeol 07700 ST JUST D ARDECHE,07259,4.61352800,44.30425000,,FR*S07*E07259*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07259*A,ST JUST D ARDECHE_Place de l'Ecole - Route de Bourg Saint Andeol,Place de l'Ecole - Route de Bourg Saint Andeol 07700 ST JUST D ARDECHE,07259,4.61352800,44.30425000,,FR*S07*E07259*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07267*A,ST MARTIAL_Village Nord,Village Nord 07310 ST MARTIAL,07267,4.27482500,44.86728700,,FR*S07*E07267*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07267*A,ST MARTIAL_Village Nord,Village Nord 07310 ST MARTIAL,07267,4.27482500,44.86728700,,FR*S07*E07267*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07268*A,ST MARTIN D ARDECHE_Chemin du Grand Clos,Chemin du Grand Clos 07700 ST MARTIN D ARDECHE,07268,4.56856300,44.30135300,,FR*S07*E07268*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07268*A,ST MARTIN D ARDECHE_Chemin du Grand Clos,Chemin du Grand Clos 07700 ST MARTIN D ARDECHE,07268,4.56856300,44.30135300,,FR*S07*E07268*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07279*A,ST MONTAN_Bauvache,Bauvache 07220 ST MONTAN,07279,4.62543100,44.43869900,,FR*S07*E07279*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07279*A,ST MONTAN_Bauvache,Bauvache 07220 ST MONTAN,07279,4.62543100,44.43869900,,FR*S07*E07279*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07281*A,ST PERAY_Place Andre Pic,Place Andre Pic 07130 ST PERAY,07281,4.83965000,44.94409000,,FR*S07*E07281*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07281*A,ST PERAY_Place Andre Pic,Place Andre Pic 07130 ST PERAY,07281,4.83965000,44.94409000,,FR*S07*E07281*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07281*B,ST PERAY_Allee Du Mistral,Allee Du Mistral 07130 ST PERAY,07281,4.86039900,44.94193700,,FR*S07*E07281*B*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07281*B,ST PERAY_Allee Du Mistral,Allee Du Mistral 07130 ST PERAY,07281,4.86039900,44.94193700,,FR*S07*E07281*B*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07286*A,ST PIERREVILLE_Place du Clos,Place du Clos 07190 ST PIERREVILLE,07286,4.48872000,44.81492700,,FR*S07*E07286*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07286*A,ST PIERREVILLE_Place du Clos,Place du Clos 07190 ST PIERREVILLE,07286,4.48872000,44.81492700,,FR*S07*E07286*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
